HANDSET_NAME,HANDSET_BRAND
Hui Zhou Comio A1,Hui
i-Life Amaze 605,i
iNew U1,iNew
iNew V1,iNew
Infinix X506 ZERO,Infinix
Infinix X507 HOT,Infinix
Infinix X551 HOT Note,Infinix
Innjoo Technology F2,Innjoo
"Innjoo Technology F3,F3S,F3T",Innjoo
Innjoo Technology Fire Plus 3G,Innjoo
Innjoo Technology Fire Plus LTE,Innjoo
Innjoo Technology Fire Pro,Innjoo
Innjoo Technology i1,Innjoo
"Innjoo Technology i1s,i1t,i1x,i1k",Innjoo
"Innjoo Technology i2,i2s",Innjoo
Innjoo Technology Max,Innjoo
Innjoo Technology Note E,Innjoo
"Innjoo Technology Note,Note Pro",Innjoo
Innjoo Technology ONE 3G HD,Innjoo
Innjoo Technology ONE LTE HD,Innjoo
Innjoo Technology T1,Innjoo
"Innjoo Technology T2,F1",Innjoo
Intel BT210,Intel
Intercel SAM,Intercel
Intermec CN50,Intermec
Iwow TR-800,Iwow
Jablocom EYE-02,Jablocom
JinPeng A5886,JinPeng
Jixing L2,Jixing
Josh JB222,Josh
"Joyplus International Enterprise QQ-7A,DM-7G,QM-78,K7A,DQ-7B",Joyplus
"Junbo International Electronic Technology G1, G2, G3, G5",Junbo
K-Touch T700,K
Karbonn A5S Smart,Karbonn
Kaza-Miza for Importing & Exporting Agencies i600/i700/i800/i900/i101,Kaza
Kechao K81,Kechao
Kfive K27,Kfive
Kgtel K80,Kgtel
KMY 801D,KMY
"L & A Group FZE E80,E90",L
Lab126 SD4930UR.r2,Lab126
Lava International iris X1+,Lava
Lava International iris X8q,Lava
Leadsky International Development Auro compact 6321,Leadsky
Lemobile Information Technology Letv X500,Lemobile
Lemon Duo 405,Lemon
Lenovo A10-70 A7600-HV,Lenovo
Lenovo A1000,Lenovo
Lenovo A2010,Lenovo
Lenovo A269i,Lenovo
Lenovo A3000-H,Lenovo
Lenovo A316,Lenovo
Lenovo A319 RocStar,Lenovo
Lenovo A328,Lenovo
Lenovo A369i,Lenovo
Lenovo A388t,Lenovo
Lenovo A390 Touch,Lenovo
Lenovo A396,Lenovo
Lenovo A536,Lenovo
Lenovo A560,Lenovo
Lenovo A580,Lenovo
Lenovo A6000,Lenovo
Lenovo A7-30 A3300-GC,Lenovo
Lenovo A7-30 A3300-H,Lenovo
Lenovo A7-30 A3300-T,Lenovo
Lenovo A7-50 A3500,Lenovo
Lenovo A7-50 A3500-H,Lenovo
Lenovo A8-50 A5500-HV,Lenovo
Lenovo A850,Lenovo
Lenovo A859,Lenovo
Lenovo A880,Lenovo
